deployment,pod
ts-rebook-service,ts-rebook-service-9b757b65-cjsrz
ts-rebook-service,ts-rebook-service-9b757b65-wncfw
ts-route-plan-service,ts-route-plan-service-55ffcdf865-hbkmh
ts-route-plan-service,ts-route-plan-service-55ffcdf865-tpc98
ts-route-service,ts-route-service-54d744ccc9-2t4gh
ts-route-service,ts-route-service-54d744ccc9-6nwqm
ts-seat-service,ts-seat-service-5b97bc9fb5-fj26r
ts-seat-service,ts-seat-service-5b97bc9fb5-jxr6j
ts-security-service,ts-security-service-6cfbd5679-h46xv
ts-security-service,ts-security-service-6cfbd5679-w44vz
ts-station-food-service,ts-station-food-service-b974d49f7-9kh6g
ts-station-food-service,ts-station-food-service-b974d49f7-m82zg
ts-station-service,ts-station-service-69dd95ff9d-92mnb
ts-station-service,ts-station-service-69dd95ff9d-rnzmz
ts-ticket-office-service,ts-ticket-office-service-5ccb5477cf-4gmjc
ts-ticket-office-service,ts-ticket-office-service-5ccb5477cf-gqpcg
ts-train-food-service,ts-train-food-service-6cc445bdd5-cgng6
ts-train-food-service,ts-train-food-service-6cc445bdd5-h4zbm
ts-train-service,ts-train-service-c8696bf95-bv5t9
ts-train-service,ts-train-service-c8696bf95-mg4kb
ts-travel-plan-service,ts-travel-plan-service-6b59d578db-mxmgq
ts-travel-plan-service,ts-travel-plan-service-6b59d578db-n7qck
ts-travel-service,ts-travel-service-c598b7879-6mllj
ts-travel-service,ts-travel-service-c598b7879-bb7s2
ts-travel2-service,ts-travel2-service-7ccf6c966f-228fh
ts-travel2-service,ts-travel2-service-7ccf6c966f-h5mmq
ts-ui-dashboard,ts-ui-dashboard-546ff59599-6dpsx
ts-user-service,ts-user-service-5fc7759cf4-b8hlk
ts-user-service,ts-user-service-5fc7759cf4-kgg9s
ts-verification-code-service,ts-verification-code-service-6445455b6c-9mnnz
ts-verification-code-service,ts-verification-code-service-6445455b6c-l7vxt
ts-voucher-service,ts-voucher-service-66786949b4-8l97n
ts-voucher-service,ts-voucher-service-66786949b4-gldl5
ts-wait-order-service,ts-wait-order-service-d96db497b-896kd
ts-wait-order-service,ts-wait-order-service-d96db497b-f9lhl
