pod,container
ts-admin-route-service-5b57ff6d57-rzffz,docker://2a469a364954c68794e64069ba30efc32233d62fedc1da6ee01ceb53c1fd775d
ts-admin-travel-service-65f99666b6-rwjx5,docker://ae2d723ca04efa364d034c8e5a399ef7879491ebb352c2017b40f00e67963dfa
ts-admin-travel-service-65f99666b6-tlgp6,docker://8ce64783c155a0fb346a0c36cf51d47a71246d8115e34959d87d70fa9271a8f5
ts-admin-user-service-7d94ff5bc6-66ccv,docker://e81f8b479d105063cc4ee4dbd94b90bb7196492826253c880f2c1b8d7c7da3cc
ts-admin-user-service-7d94ff5bc6-pcf7v,docker://902f91804f21a265b8b7d01ea29da40de6d75eee452a7004adc5c596db607290
ts-assurance-service-75857d4f45-b28xp,docker://f83adde6243f162f7f76bf7e1c99ec4f2139576b18f1ca83a1b1507f101571fd
ts-assurance-service-75857d4f45-mjmvt,docker://9a68d899cf36965ed7ce3e3fd9764d02529b742f6685774b36c50db91f47e7e3
ts-auth-service-6f695b66dc-8xx85,docker://43c13b61e00771592736a4a6e3564189fb72498124c9714259a3252a2535e554
ts-auth-service-6f695b66dc-rqt7m,docker://10f82aaf84888d6f15259d65b0505b1c942448810cbf5fea3e183ba5e3f2004d
ts-avatar-service-7d66bbcfb8-r8q2w,docker://17fe1c33cfd8a40f24788a079df588ef6c24a54187f83a7ad45339794ad3f148
ts-avatar-service-7d66bbcfb8-sczmm,docker://d322fdfa7f2d7e24ff0cc6e0f02d403e98080e072cb386d93cd0687e73956639
ts-basic-service-6f7d85c664-lkwnv,docker://296f8b19852beeabacf7241364a0510111a1ad80bfe017cc6eea24454db5ea54
ts-basic-service-6f7d85c664-p9vcx,docker://43cc77591ef94e094779908670ef9c0548347f428661aabac2d3aa173f6beb2e
ts-cancel-service-74d57dff8d-dz4hz,docker://fbd7c21e0acf3960a50c00117d850426a233c9f7d069338f116ae08b68282b34
ts-cancel-service-74d57dff8d-hlmr2,docker://1fdff3ce831e1a23f749524e316049ea9716a23db0adb45aa097613340aee498
ts-config-service-56756cd4b7-6hmbl,docker://03b4ebc6bb4938af2e34735eee923fb42c8683eab0485c7e5a9ff462adf55de6
ts-config-service-56756cd4b7-kxz4r,docker://ee87c1874e6e4a503abdd3fb31b0f3a3b2a638f5239811efc49ec72e469f5dc7
ts-consign-price-service-756469f8f9-h5crm,docker://3cf7ccb135e90d5164c85250468aa97a507133e19d198ca547d629624b6076b3
ts-consign-price-service-756469f8f9-rf8vj,docker://70ea7a4156b62366cededd1349867e03360b9257d9422dca1939eb8de09ed309
ts-consign-service-57dff95494-klmwp,docker://a0102bf1dbd664327a2ac2fcf6a7ad90226106861d6f1b93e67a65106e75afbe
ts-consign-service-57dff95494-n4j2z,docker://7b4664f15dfac454f9d7874807856dbcc0e6acfe0bacdae712257347f8a906fd
ts-contacts-service-7598b8f96f-qqxqm,docker://ab870ee8e58ff493cb1be600d89e57258920ca02b335e324d82398523164f21b
ts-contacts-service-7598b8f96f-x64xc,docker://d3f447a4ae693ad7ec54743af0ba0b255f4a245a2ab7c4429327ccabbda4962b
ts-delivery-service-796698457f-p6887,docker://5c3a667ef11b1da3e11cd75ca430aa771eee7a196d4483951e237cf0dcdacb1b
ts-delivery-service-796698457f-zqrkr,docker://a705fb654ed4d62716c7883c01f7c7d787330ba357704d453ce82b96a3242864
ts-execute-service-76584dd465-96d4p,docker://3b15f3290546b6094b09ff34dfa3144c230aa7c81f0e4318252e1e33399af97c
ts-execute-service-76584dd465-c7628,docker://6f3552d32bd237bee78f5eb3fcb869802251088b49b5ba08496cbdf78f897476
ts-food-delivery-service-6446cc9999-bvlgd,docker://09bea955f9d4e94c1578b8b4e3f26317438cabae29cf52569b7b55973809b8ad
ts-food-delivery-service-6446cc9999-hqh4c,docker://66d356fa6d82a31dfa2e2fe095540677122da1034d0119819d027d0343af9178
ts-food-service-66f9498cdf-l826t,docker://16d7b658f7c0710a037d0939197c2fff1f67f54422e0aac73b03bc37ecdb9e2e
ts-food-service-66f9498cdf-xf27r,docker://3d44e1cb4075769f53ccf22cd88c0100b1684c8156ef4459f21adf31ee0cf43d
ts-gateway-service-6f99b4b794-m7t6b,docker://37bdee30ac84da1f1a97cac0c5f25bcbec122f74cb63e59a597271fe7f436a63
ts-gateway-service-6f99b4b794-txqfb,docker://84ad50f9542669d18f1d1d72a67a71ea5ad85dbbb50fdf1906b21e9a965003c0
ts-inside-payment-service-5d897577cc-4zn5m,docker://c2cb6fc720b10b957fb3a556572906de8999f8150583a6d802887b33d1fe2ca8
ts-inside-payment-service-5d897577cc-v7hqm,docker://80ab7b5434148bf41774899cef35ca60f8e6e2bebb8f03dc3261b4823e865ed3
ts-news-service-867fc4cb4f-xd62r,docker://1fbec77e5a980f947fc9444d21d531ca428451a2cbc1b649cefd33bb0014e5ff
ts-news-service-867fc4cb4f-zlnt6,docker://057ac2e27615808e1ef3894de8427e47553f19aab9c3810db4d11feb900c2877
ts-notification-service-54b94867b9-ddfvc,docker://69068d909f3a421305cb5eaf12f1ffb660f83b48da3cd9e204cce0d450ea0289
ts-notification-service-54b94867b9-k4qbq,docker://ac408f8739e3f3c3d43757a177722f278b876407fd402c3a322ad01a3f6c0fa8
ts-order-other-service-599787b58b-48p9p,docker://eb65aaf65ec794bfb2e37317a8a2b37700ccb3277c0b906217fa7886329fa1d2
ts-order-other-service-599787b58b-k9lr8,docker://c45aa87bc730f23310a9d800163efe48ad19c6b84d37a770a35a54c504ce1ab9
ts-order-service-5cffbb94fd-9k6vs,docker://424e9d06899237096b5185aefe281f93bb7fd93f023a66f44a1c594cb2cd4d5b
ts-order-service-5cffbb94fd-tqpsq,docker://961b4e406b45122e33204b4757f168496d43ddbd4601ba22b4e42f451c853e40
ts-payment-service-bcd86c6d7-h2kfz,docker://9c41c04df4d7c8e938e16d62da62e0ce00ae0fd06c224e825c0d35a3b601001a
ts-payment-service-bcd86c6d7-lrq7v,docker://7b1a626119c006f49556f1e4abcbe300ce3aa3138e98eed49008866bca8a2a02
ts-preserve-other-service-b89f79469-6t9bs,docker://ae0c01a433225d4914867d5c30bd60a85a563632bdb1b117d853ebcc1ccc61de
ts-preserve-other-service-b89f79469-t7n9k,docker://3ec241483bfa451b61080ceccaaf23e48b505329670e0bd98aa4c4ae3e962a95
ts-preserve-service-f67995894-27flb,docker://1d424d78114fde384fe7847cd052367d1d23de805662fb84ac00547efbb7fd88
ts-preserve-service-f67995894-gc5qw,docker://27ca2fb7d753bdcc66c822ebb9224eae89d747c08857125d97e894ac9c455ae4
ts-price-service-7c9648f9dc-jr7g6,docker://a7ed71e9b69a94e0d2b8baea07805f555ff4c4102c2bb4fd281740c06942fff9
ts-price-service-7c9648f9dc-t8wk4,docker://c59774a375e0e6ade4c4ab3cf35f669600537dbb5a7a772a2654243306354bfb
ts-rebook-service-9b757b65-cjsrz,docker://e27b8b1ad7505dc6776f7bdcd209e78bcded6c729bd1273677ab052a47c38a58
ts-rebook-service-9b757b65-wncfw,docker://b2e0d365ea47cc27fb0ee8113fbd9841de0fcb29f770da75349ab49c7b3ab2ec
ts-route-plan-service-55ffcdf865-hbkmh,docker://42f44b9a354c4beacb63c1c3867804b760ebfdf15529bfba2317cf01589634b9
ts-route-plan-service-55ffcdf865-tpc98,docker://fde587753c4134903d0a85639ff95941100bac5ff9bf5cc750b0c07a875eda38
ts-route-service-54d744ccc9-2t4gh,docker://4c6958d38c900875bff7bb3f70bcc061429c3a8534d56222015225481697455f
ts-route-service-54d744ccc9-6nwqm,docker://954e6cf8df2fb19330ef50ba2b1de5cb7109138bdac1b42aff8cca9336e104a1
ts-seat-service-5b97bc9fb5-fj26r,docker://7d7906e4b0e72d3c603fb70c4ab52b4cda09878d12b1085f4a7b397828e5a378
ts-seat-service-5b97bc9fb5-jxr6j,docker://4fa69b8570cb5d0afd0e0fc03b461ef4095234002c9171b4b13f465807cfe6db
ts-security-service-6cfbd5679-h46xv,docker://162a3006f879be467731b07b9b8d7e86e65d9d1f7c2682abf65b0724b357e3a5
ts-security-service-6cfbd5679-w44vz,docker://8104eb7a6ae1f4bdd2b05a0ea4098add41bec89afa3fd84548742728ae622d14
ts-station-food-service-b974d49f7-9kh6g,docker://8371726c139487ea97f85db0d5762d9cec203413a020c0aa38f60c34f5c1b4f4
ts-station-food-service-b974d49f7-m82zg,docker://e6e4e515f0ad51d2747abe5dc00d31547fa8841d5d96a62c5899f9413ffd75e4
ts-station-service-69dd95ff9d-92mnb,docker://62b2e51396083696b4864c3a2bcab48b2d77a180f3bd8576156c8b1645b2d362
ts-station-service-69dd95ff9d-rnzmz,docker://33b31a32061a15ef77d573ee5d79d7e4ba12e766450a85297a77030ec63245de
ts-ticket-office-service-5ccb5477cf-4gmjc,docker://48eaa5068c60976efe798de8f7da20edc8beec7f5da60cb02e7ced4891b75153
ts-ticket-office-service-5ccb5477cf-gqpcg,docker://89405ece5bcdb7a719258d34a79be8f0aec8710fa7d789e98c80167d6decbf4e
ts-train-food-service-6cc445bdd5-cgng6,docker://32e6ac005a87d1cc035866cfa2adbf3f951359a832cdd84ae62cc77d250612e9
ts-train-food-service-6cc445bdd5-h4zbm,docker://ae890af7cc8409ce5c0eb263d3ca4b9320c7759a3ec44486641847b5281330b9
ts-train-service-c8696bf95-bv5t9,docker://1ca2e88038a40e338d196666be365b5b57431f7a4f576d018ffdfaddaa72a6ca
ts-train-service-c8696bf95-mg4kb,docker://ff423918d88c4f242d49c63256cfe79d2d0b75ea7a23cea6ffaf46ec6519d1fe
ts-travel-plan-service-6b59d578db-mxmgq,docker://66182ab6a2d1d421ce4ec7a68420026d64a088923b4413c3e5141e39a7326919
ts-travel-plan-service-6b59d578db-n7qck,docker://b78b48904d38b8f31357b2982eaf3e0405541c20f940b16d1b240d101a3d83e6
ts-travel-service-c598b7879-6mllj,docker://85290b56f2bb82f75cb5df4c422e1e89a26ddb07eb04e28e810999534bcdcbdb
ts-travel-service-c598b7879-bb7s2,docker://dbe464bd8635281c781119430d7f96db1120bf18a4e0867f31f1279ef865ac7e
ts-travel2-service-7ccf6c966f-228fh,docker://50f830834a1e8b285bd5e082e326fa1a251615cf64c9f0b1170089581b4e9873
ts-travel2-service-7ccf6c966f-h5mmq,docker://c12a175a381c893bbd092cffa01339541b0bdb85d646971a5a4d4e408c50c392
ts-ui-dashboard-546ff59599-6dpsx,docker://d569cd0726a8b072d07d06fcc0a7120473670b6452e64afc0081c3024ee97a72
ts-user-service-5fc7759cf4-b8hlk,docker://c17af233db7ab4ae32a5b78b384ced61e2488eed7d2167f3d905c252ccabb7d4
ts-user-service-5fc7759cf4-kgg9s,docker://b79fa1e9156f668bbdfbd58500351d4245336803ce67272b8b6c6a41174e8b0c
ts-verification-code-service-6445455b6c-9mnnz,docker://bc862c6d16e82072456e1266c5a455c6640373913a116d2e00cafb9e3b81b1d3
ts-verification-code-service-6445455b6c-l7vxt,docker://a99e35d801f7421912a821ce5ee8a6b4a0fd5202a9335e356771ca131f7f9d4d
ts-voucher-service-66786949b4-8l97n,docker://6d0a322c09c22485449b5033b31457f10461884403fb6bf8eec5926c4325d33c
ts-voucher-service-66786949b4-gldl5,docker://4cecc43eb9df396f7406d3300bef40d2d24eb30c68b8f803fde0157b0b22fe05
ts-wait-order-service-d96db497b-896kd,docker://b583c5385b375c8b22cf602f6919e047958ba394cb91fa77a2435b5c324a7a8e
ts-wait-order-service-d96db497b-f9lhl,docker://d0cee7e0ecdfe20049503f06399cdbc0d6f6262ff48e20fd139ead359001605b
tsdb-mysql-0,docker://0c064875fbcabfd9aab822bee7715d49d3522392c1167a1e43861fb085fdb6cc
tsdb-mysql-0,docker://9bc51836e62dfcf1d8f21c90a3325a9a85609be26ba3f4a3332f73a262cd24bb
tsdb-mysql-0,docker://c29248d76e4f00d6b92da26c87308bf85a0955b023e2ff27d3709aa864fdc1ff
tsdb-mysql-1,docker://94eaa9aea154e49794f3d3bddfc26e4ec42dd784073dfdd5d30a9074542aae4f
tsdb-mysql-1,docker://992bd442e137071901983d332421017b99c7970c4e0bb9a8e2323420f4f74b45
tsdb-mysql-1,docker://9a7fb45a2b49746a08a9879d4ef82f7fee5e7faa4791dfa42524bd6908c9babf
tsdb-mysql-2,docker://41c6c4e36c2c92c84e07c92338c87569bd48e1ebb9683c887a7c9fd78fd777c8
tsdb-mysql-2,docker://aa350c1f17dc988a11bc8e3c4561ed4605aaf605c6cc8ff80699ff5088cc053a
tsdb-mysql-2,docker://ff12b1df4b4d048d46dcca4f810707295757611980e9a444c5630d37c4dfd9b5
