src,dst
POST /api/v1/preserveservice/preserve,POST /api/v1/basicservice/basic/travel
POST /api/v1/preserveservice/preserve,POST /api/v1/consignservice/consigns
POST /api/v1/preserveservice/preserve,POST /api/v1/orderservice/order
POST /api/v1/preserveservice/preserve,POST /api/v1/seatservice/seats
POST /api/v1/preserveservice/preserve,POST /api/v1/travelservice/trip_detail
POST /api/v1/rebookservice/rebook,GET /api/v1/inside_pay_service/inside_payment/{userId}/{money}
POST /api/v1/rebookservice/rebook,GET /api/v1/orderOtherService/orderOther/{orderId}
POST /api/v1/rebookservice/rebook,GET /api/v1/orderservice/order/{orderId}
POST /api/v1/rebookservice/rebook,GET /api/v1/routeservice/routes/{routeId}
POST /api/v1/rebookservice/rebook,GET /api/v1/trainservice/trains/byName/{name}
POST /api/v1/rebookservice/rebook,POST /api/v1/seatservice/seats
POST /api/v1/rebookservice/rebook,POST /api/v1/travel2service/trip_detail
POST /api/v1/rebookservice/rebook,POST /api/v1/travelservice/trip_detail
POST /api/v1/rebookservice/rebook,PUT /api/v1/orderOtherService/orderOther
POST /api/v1/rebookservice/rebook,PUT /api/v1/orderservice/order
POST /api/v1/rebookservice/rebook/difference,GET /api/v1/orderOtherService/orderOther/{orderId}
POST /api/v1/rebookservice/rebook/difference,GET /api/v1/orderservice/order/{orderId}
POST /api/v1/rebookservice/rebook/difference,GET /api/v1/routeservice/routes/{routeId}
POST /api/v1/rebookservice/rebook/difference,GET /api/v1/trainservice/trains/byName/{name}
POST /api/v1/rebookservice/rebook/difference,POST /api/v1/inside_pay_service/inside_payment/difference
POST /api/v1/rebookservice/rebook/difference,POST /api/v1/seatservice/seats
POST /api/v1/rebookservice/rebook/difference,POST /api/v1/travel2service/trip_detail
POST /api/v1/rebookservice/rebook/difference,POST /api/v1/travelservice/trip_detail
POST /api/v1/rebookservice/rebook/difference,PUT /api/v1/orderOtherService/orderOther
POST /api/v1/rebookservice/rebook/difference,PUT /api/v1/orderservice/order
POST /api/v1/routeplanservice/routePlan/cheapestRoute,GET /api/v1/travel2service/routes/{tripId}
POST /api/v1/routeplanservice/routePlan/cheapestRoute,GET /api/v1/travelservice/routes/{tripId}
POST /api/v1/routeplanservice/routePlan/cheapestRoute,POST /api/v1/travel2service/trips/left
POST /api/v1/routeplanservice/routePlan/cheapestRoute,POST /api/v1/travelservice/trips/left
POST /api/v1/routeplanservice/routePlan/minStopStations,GET /api/v1/routeservice/routes/{routeId}
POST /api/v1/routeplanservice/routePlan/minStopStations,GET /api/v1/routeservice/routes/{start}/{end}
POST /api/v1/routeplanservice/routePlan/minStopStations,POST /api/v1/travel2service/trip_detail
POST /api/v1/routeplanservice/routePlan/minStopStations,POST /api/v1/travel2service/trips/routes
POST /api/v1/routeplanservice/routePlan/minStopStations,POST /api/v1/travelservice/trip_detail
POST /api/v1/routeplanservice/routePlan/minStopStations,POST /api/v1/travelservice/trips/routes
POST /api/v1/routeplanservice/routePlan/quickestRoute,GET /api/v1/travel2service/routes/{tripId}
POST /api/v1/routeplanservice/routePlan/quickestRoute,GET /api/v1/travelservice/routes/{tripId}
POST /api/v1/routeplanservice/routePlan/quickestRoute,POST /api/v1/travel2service/trips/left
POST /api/v1/routeplanservice/routePlan/quickestRoute,POST /api/v1/travelservice/trips/left
POST /api/v1/seatservice/seats,POST /api/v1/orderOtherService/orderOther/tickets
POST /api/v1/seatservice/seats,POST /api/v1/orderservice/order/tickets
POST /api/v1/seatservice/seats/left_tickets,GET /api/v1/configservice/configs/{configName}
POST /api/v1/seatservice/seats/left_tickets,POST /api/v1/orderOtherService/orderOther/tickets
POST /api/v1/seatservice/seats/left_tickets,POST /api/v1/orderservice/order/tickets
POST /api/v1/travel2service/trip_detail,POST /api/v1/basicservice/basic/travel
POST /api/v1/travel2service/trip_detail,POST /api/v1/seatservice/seats/left_tickets
POST /api/v1/travel2service/trips/left,POST /api/v1/basicservice/basic/travels
POST /api/v1/travel2service/trips/left,POST /api/v1/seatservice/seats/left_tickets
POST /api/v1/travelplanservice/travelPlan/cheapest,GET /api/v1/trainservice/trains/byName/{name}
POST /api/v1/travelplanservice/travelPlan/cheapest,POST /api/v1/routeplanservice/routePlan/cheapestRoute
POST /api/v1/travelplanservice/travelPlan/cheapest,POST /api/v1/seatservice/seats/left_tickets
POST /api/v1/travelplanservice/travelPlan/minStation,GET /api/v1/trainservice/trains/byName/{name}
POST /api/v1/travelplanservice/travelPlan/minStation,POST /api/v1/routeplanservice/routePlan/minStopStations
POST /api/v1/travelplanservice/travelPlan/minStation,POST /api/v1/seatservice/seats/left_tickets
POST /api/v1/travelplanservice/travelPlan/quickest,GET /api/v1/trainservice/trains/byName/{name}
POST /api/v1/travelplanservice/travelPlan/quickest,POST /api/v1/routeplanservice/routePlan/quickestRoute
POST /api/v1/travelplanservice/travelPlan/quickest,POST /api/v1/seatservice/seats/left_tickets
POST /api/v1/travelservice/trip_detail,POST /api/v1/basicservice/basic/travel
POST /api/v1/travelservice/trip_detail,POST /api/v1/seatservice/seats/left_tickets
POST /api/v1/travelservice/trips/left,POST /api/v1/basicservice/basic/travels
POST /api/v1/travelservice/trips/left,POST /api/v1/seatservice/seats/left_tickets
POST /api/v1/travelservice/trips/left_parallel,POST /api/v1/basicservice/basic/travel
POST /api/v1/travelservice/trips/left_parallel,POST /api/v1/seatservice/seats/left_tickets
POST /api/v1/users/login,GET /api/v1/verifycode/verify/{verifyCode}
POST /api/v1/userservice/users/register,POST /api/v1/auth
PUT /api/v1/adminbasicservice/adminbasic/configs,PUT /api/v1/configservice/configs
PUT /api/v1/adminbasicservice/adminbasic/contacts,PUT /api/v1/contactservice/contacts
PUT /api/v1/adminbasicservice/adminbasic/prices,PUT /api/v1/priceservice/prices
PUT /api/v1/adminbasicservice/adminbasic/stations,PUT /api/v1/stationservice/stations
PUT /api/v1/admintravelservice/admintravel,GET /api/v1/routeservice/routes/{routeId}
PUT /api/v1/admintravelservice/admintravel,GET /api/v1/trainservice/trains/byName/{name}
PUT /api/v1/admintravelservice/admintravel,POST /api/v1/stationservice/stations/idlist
PUT /api/v1/admintravelservice/admintravel,PUT /api/v1/travelservice/trips
PUT /api/v1/adminuserservice/users,PUT /api/v1/userservice/users
PUT /api/v1/consignservice/consigns,GET /api/v1/consignpriceservice/consignprice/{weight}/{isWithinRegion}
